X,Y,Name,Description,Date,Zone,Diameter,Length,Image
-74.1807,40.75889,,,11/19,1,large,large,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_145.jpg
-74.18076,40.75869,,,11/19,1,medium,large,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_146.jpg
-74.18124,40.75856,,,2/19,1,medium,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_147.jpg
-74.1832,40.7561,,,2/19,1,large,large,
-74.1815,40.7586,,,2/19,1,medium,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_149.jpg
-74.18136,40.75889,,,2/19,1,medium,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_150.jpg
-74.180036,40.758443,,,2/19,1,medium,large,
-74.1814,40.7587,,,2/19,1,medium,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_152.jpg
-74.18139,40.75878,,,2/19,1,large,large,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_153.jpg
-74.18084,40.75892,,,2/19,1,medium,medium,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_154.jpg
-74.18087,40.75921,,,2/19,1,medium,medium,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_155.jpg
-74.18075,40.7591,,,2/19,1,large,medium,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_156.jpg
-74.1815,40.75885,,,2/19,1,medium,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_157.jpg
-74.1814,40.759,,,2/19,1,medium,medium,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_158.jpg
-74.18177,40.75914,,,1/19,1,large,large,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_159.jpg
-74.18147,40.75894,,,2/19,1,medium,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_160.jpg
-74.181868,40.759786,,,2/19,1,medium,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_161.jpg
-74.1833287,40.756163,,,2/19,1,large,medium,
-74.1818,40.76006,,,2/19,1,medium,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_163.jpg
-74.1813,40.7583,,,2/19,1,medium,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_164.jpg
-74.18182,40.75916,,,2/19,1,medium,medium,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_165.jpg
-74.18203,40.75923,,,2/19,1,medium,medium,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_166.jpg
-74.1817,40.7591,,,2/19,1,large,large,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_167.jpg
-74.1831544,40.7562483,,,2/19,1,medium,small,
-74.1821,40.75919,,,2/19,1,medium,medium,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_169.jpg
-74.18146,40.7586,,,2/19,1,medium,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_170.jpg
-74.181564,40.760732,,,2/19,1,medium,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_171.jpg
-74.1824,40.7593,,,2/19,1,medium,medium,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_172.jpg
-74.18232,40.75934,,,2/19,1,medium,medium,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_173.jpg
-74.18176,40.75922,,,2/19,1,medium,medium,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_174.jpg
-74.17948,40.75984,,,2/19,1,medium,small,
-74.181203,40.76123,,,2/19,1,medium,medium,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_176.jpg
-74.18154,40.76092,,,2/19,1,medium,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_177.jpg
-74.18217,40.7592,,,2/19,1,large,medium,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_178.jpg
-74.1817,40.7596,,,2/19,1,large,medium,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_179.jpg
-74.1822,40.7593,,,2/19,1,medium,medium,
-74.18237,40.75939,,,2/19,1,large,large,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_181.jpg
-74.1832,40.7561,,,2/19,1,medium,small,
-74.1821,40.75926,,,2/19,1,medium,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_183.jpg
-74.181105,40.761399,,,2/19,1,medium,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_184.jpg
-74.1832,40.7561,,,2/19,1,medium,medium,
-74.18237,40.75939,,,2/19,1,medium,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_186.jpg
-74.18108,40.76147,,,2/19,1,medium,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_187.jpg
-74.18206,40.7592,,,2/19,1,,medium,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_188.jpg
-74.1826,40.7595,,,2/19,1,large,large,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_189.jpg
-74.1822387,40.759188,,,2/19,1,medium,medium,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_190.jpg
-74.1809,40.7616,,,2/19,1,medium,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_191.jpg
-74.1811,40.76153,,,2/19,1,large,large,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_192.jpg
-74.1809,40.7616,,,2/19,1,medium,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_193.jpg
-74.18277,40.7596,,,2/19,1,large,medium,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_194.jpg
-74.18054,40.75851,,,2/19,1,large,medium,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_195.jpg
-74.1827,40.7596,,,2/19,1,medium,medium,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_196.jpg
-74.18301,40.75977,,,2/19,1,medium,medium,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_197.jpg
